170,20080,3060.0,6948.7223902774285,170,20080,3060.0,6948.7223902774285
160,190,184.28571428571428,10.497813183356477,160,200,187.14285714285714,11.605769149479945
160,170,162.85714285714286,4.517539514526256,160,220,174.28571428571428,21.285234893930486

160,20080,3031.4285714285716,6960.095296086989,160,310,195.71428571428572,49.23910839889739
160,190,184.28571428571428,10.497813183356477,160,200,187.14285714285714,11.605769149479945
160,20080,3051.4285714285716,6951.972851688379,140,20080,3052.8571428571427,6951.443250527628

160,190,184.28571428571428,10.497813183356477,160,200,187.14285714285714,11.605769149479945
140,260,184.28571428571428,37.36199094463435,140,260,188.57142857142858,40.506991082165214
120,230,158.57142857142858,33.98679215248663,120,290,167.14285714285714,53.10751512983173
